City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Arraial Do Cabo,BR,75.16,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
3,Ribeira Grande,PT,73.8,mist,38.5167,-28.7,Quinta da Meia Eira
5,Lagoa,PT,71.49,clear sky,39.05,-27.9833,Casa Das Faias
6,Ingham,US,75.31,clear sky,42.6,-84.3833,Sunset Mobile Home Park
8,Pafos,CY,75.11,few clouds,34.7667,32.4167,Elysium Hotel
9,Zurrieq,MT,75.96,few clouds,35.8311,14.4742,Ta'Bertu Guest House
11,Hervey Bay,AU,68.11,moderate rain,-25.2986,152.8535,Shelly Bay Resort
13,Kaseda,JP,74.86,clear sky,31.4167,130.3167,Sun Stay Kaseda
18,Atuona,PF,77.86,light rain,-9.8,-139.0333,Villa Enata
19,Butaritari,KI,81.54,light rain,3.0707,172.7902,Isles Sunset Lodge
21,Puerto Ayora,EC,78.76,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
25,Rikitea,PF,73.11,overcast clouds,-23.1203,-134.9692,People ThankYou
29,San Quintin,MX,70.79,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
30,Bengkulu,ID,75.6,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
32,Port Blair,IN,80.55,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
36,Takoradi,GH,76.77,overcast clouds,4.8845,-1.7554,Raybow International Hotel
38,Carnarvon,AU,68.07,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
40,Hilo,US,81.25,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
41,Faanui,PF,78.55,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
42,Sirajganj,BD,78.85,overcast clouds,24.45,89.7167,Sourav talukder
48,Birecik,TR,70.81,clear sky,37.0294,37.9903,Birecik Ogretmenevi
50,Clinton,US,75.56,clear sky,42.587,-82.9199,Hampton Inn Detroit/Roseville
52,Kailua,US,84.18,moderate rain,21.4022,-157.7394,Sheffield House Bed & Breakfast
54,Kalmunai,LK,80.46,overcast clouds,7.4167,81.8167,VS Villa
56,Manggar,ID,80.91,overcast clouds,-2.8833,108.2667,Guest Hotel
59,Acari,PE,77.76,clear sky,-15.4311,-74.6158,HOSPEDAJE XIMENA
60,Banepa,NP,68.32,broken clouds,27.6298,85.5214,Dhulikhel Lodge Resort
61,Mairana,BO,75.56,broken clouds,-18.1167,-63.9333,Mi Terruño
67,Kapaa,US,80.92,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
69,Jamestown,US,69.3,scattered clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
71,Vaini,TO,75.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
77,Ponta Do Sol,PT,73.71,few clouds,32.6667,-17.1,Hotel do Campo
78,Saint-Philippe,RE,71.15,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
82,Bethel,US,68.02,scattered clouds,41.3712,-73.414,Courtyard by Marriott Danbury
85,Sao Luis,BR,84.4,light rain,-2.5297,-44.3028,Solar das Pedras Hostel
88,Calhoun,US,77.99,clear sky,42.2506,-85.0005,Quality Inn
90,Pisco,PE,65.01,overcast clouds,-13.7,-76.2167,Hotel San Isidro Oficial
91,Hamilton,US,84.24,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
94,Banda Aceh,ID,77.95,light rain,5.5577,95.3222,Sulthan Hotel International
96,Georgetown,MY,77.9,few clouds,5.4112,100.3354,Cititel Penang
97,Bathsheba,BB,84.27,broken clouds,13.2167,-59.5167,Atlantis Hotel
100,Karratha,AU,72.61,clear sky,-20.7377,116.8463,ibis Styles Karratha
107,Wanning,CN,76.42,few clouds,18.8003,110.3967,Paradise Hotel
109,Gasa,PS,75.9,clear sky,31.5,34.4667,رابطة الفنانين الفلسطينيين
110,Laguna,US,81.64,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
112,Castro,BR,80.49,few clouds,-24.7911,-50.0119,CHACARA BAILLY
116,La Paz,BO,66.18,few clouds,-16.5,-68.15,Hotel Sagarnaga
117,Saint-Leu,RE,70.63,clear sky,-21.15,55.2833,La Caz Oceane
118,Katsuura,JP,71.19,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
120,Vao,NC,69.31,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
121,Banjar,ID,78.66,few clouds,-8.19,114.9675,The Hamsa Resort
124,Chongwe,ZM,76.5,broken clouds,-15.3292,28.682,Grakas Lodge
127,Ranong,TH,77.49,broken clouds,9.9658,98.6348,Tinidee Hotel@Ranong
128,Quelimane,MZ,76.95,clear sky,-17.8786,36.8883,Hotel Flamingo
132,San Rafael,AR,80.11,clear sky,-34.6177,-68.3301,Hotel San Rafael
137,Tura,IN,72.14,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
140,Chandur Bazar,IN,73.96,broken clouds,21.2417,77.7456,Shri Tirupati Agro Agency
142,Natal,BR,83.05,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
148,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
155,Bintulu,MY,77.41,scattered clouds,3.1667,113.0333,900 Boutique INN
163,Hithadhoo,MV,81.34,overcast clouds,-0.6,73.0833,Scoop Guest House
164,Muros,ES,66.83,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
165,Praia,CV,82.94,scattered clouds,14.9215,-23.5087,LT Aparthotel
172,Isangel,VU,71.71,broken clouds,-19.55,169.2667,Tanna Lodge
173,Emerald,AU,66.34,scattered clouds,-23.5333,148.1667,The Irish Village
174,Sola,VU,79.39,overcast clouds,-13.8833,167.55,Leumerus Bungalows
178,Saint George,US,77.47,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
180,Padang,ID,75.25,heavy intensity rain,-0.9492,100.3543,Mercure Padang
181,Souillac,MU,71.98,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
187,Garowe,SO,79.68,light rain,8.4054,48.4845,Curubo Hotel
189,Seoul,KR,65.59,fog,37.5683,126.9778,Lotte Hotel Seoul
190,Mahebourg,MU,71.89,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
192,Mayo,US,74.34,clear sky,38.8876,-76.5119,Resorts Resource Group International
193,Kavieng,PG,81.55,moderate rain,-2.5744,150.7967,Nusa Island Retreat
195,Vanimo,PG,76.84,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
201,Tonj,SS,72.16,light rain,7.2737,28.6822,Lakan Hotel
203,Bambous Virieux,MU,71.85,scattered clouds,-20.3428,57.7575,Casa Tia Villa
204,Malanje,AO,76.51,broken clouds,-9.5402,16.341,Malanje Hotel
206,Tautira,PF,82.42,few clouds,-17.7333,-149.15,Pension Oaoa
207,Harper,LR,76.78,moderate rain,4.375,-7.7169,Screensaver
209,Bradley,US,84.9,clear sky,35.1501,-84.8666,Howard Johnson by Wyndham Cleveland
210,Iquitos,PE,84.24,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
211,Thompson,CA,68.16,broken clouds,55.7435,-97.8558,Burntwood Hotel
216,Torbay,CA,70.57,scattered clouds,47.6666,-52.7314,Gallows Cove
218,Kaohsiung,TW,82.04,scattered clouds,22.6163,120.3133,御宿商旅-中山館
219,Akyab,MM,79.3,overcast clouds,20.15,92.9,Hotel Memory
220,Labuhan,ID,77.68,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
221,Nishihara,JP,79.88,few clouds,26.1842,127.7558,Minshuku Agaihama
225,Alpena,US,70.12,clear sky,45.0617,-83.4327,Days Inn by Wyndham Alpena
226,Yoichi,JP,66.22,overcast clouds,43.2039,140.7703,Marumatta Farm 21
