City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hobart,AU,-42.8794,147.3294,49.05,84,75,3.44,broken clouds
1,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,83,40,3.44,scattered clouds
2,Tiksi,RU,71.6872,128.8694,30.88,83,100,4.59,overcast clouds
3,Ribeira Grande,PT,38.5167,-28.7,73.8,88,75,6.91,mist
4,Hermanus,ZA,-34.4187,19.2345,59.9,77,90,23.02,overcast clouds
5,Lagoa,PT,39.05,-27.9833,71.49,87,0,7.14,clear sky
6,Ingham,US,42.6,-84.3833,75.31,54,1,3.44,clear sky
7,Zwettl,AT,48.6,15.1667,55.65,83,86,6.44,overcast clouds
8,Pafos,CY,34.7667,32.4167,75.11,78,20,6.91,few clouds
9,Zurrieq,MT,35.8311,14.4742,75.96,83,20,9.22,few clouds
10,Aswan,EG,24.0934,32.907,85.3,20,0,9.22,clear sky
11,Hervey Bay,AU,-25.2986,152.8535,68.11,82,100,13.53,moderate rain
12,Cidreira,BR,-30.1811,-50.2056,64.83,86,56,15.5,broken clouds
13,Kaseda,JP,31.4167,130.3167,74.86,83,0,10.27,clear sky
14,Shestakovo,RU,56.4915,103.96,34.59,93,100,0.74,overcast clouds
15,Christchurch,NZ,-43.5333,172.6333,44.91,83,90,1.99,overcast clouds
16,Dikson,RU,73.5069,80.5464,33.53,93,100,16.46,overcast clouds
17,Busselton,AU,-33.65,115.3333,56.08,86,7,7.36,clear sky
18,Atuona,PF,-9.8,-139.0333,77.86,75,55,19.37,light rain
19,Butaritari,KI,3.0707,172.7902,81.54,79,97,16.67,light rain
20,Shiyan,CN,32.6475,110.7781,64.85,83,71,3.02,light rain
21,Puerto Ayora,EC,-0.7393,-90.3518,78.76,83,94,10.04,overcast clouds
22,Bluff,NZ,-46.6,168.3333,44.8,63,79,20.94,broken clouds
23,Cherskiy,RU,68.75,161.3,24.04,94,90,10.63,overcast clouds
24,Binzhou,CN,37.3667,118.0167,64.42,82,0,4.41,light rain
25,Rikitea,PF,-23.1203,-134.9692,73.11,67,100,17.81,overcast clouds
26,Lavrentiya,RU,65.5833,-171.0,33.69,80,100,9.8,overcast clouds
27,Richards Bay,ZA,-28.783,32.0377,64.33,90,100,7.47,moderate rain
28,Cozumel,MX,20.5083,-86.9458,89.67,66,20,3.0,few clouds
29,San Quintin,MX,30.4833,-115.95,70.79,59,3,14.43,clear sky
30,Bengkulu,ID,-3.8004,102.2655,75.6,90,99,10.87,overcast clouds
31,East London,ZA,-33.0153,27.9116,59.77,87,100,16.84,moderate rain
32,Port Blair,IN,11.6667,92.75,80.55,81,22,3.98,few clouds
33,Hofn,IS,64.2539,-15.2082,41.02,87,75,6.91,broken clouds
34,Udachnyy,RU,66.4167,112.4,27.03,62,100,4.88,overcast clouds
35,Limuru,KE,-1.1,36.65,59.99,78,96,9.73,overcast clouds
36,Takoradi,GH,4.8845,-1.7554,76.77,89,91,6.87,overcast clouds
37,Saldanha,ZA,-33.0117,17.9442,62.65,74,65,15.21,broken clouds
38,Carnarvon,AU,-24.8667,113.6333,68.07,88,50,9.22,scattered clouds
39,Hami,CN,42.8,93.45,64.87,22,21,7.87,few clouds
40,Hilo,US,19.7297,-155.09,81.25,75,75,5.99,broken clouds
41,Faanui,PF,-16.4833,-151.75,78.55,76,11,18.5,light rain
42,Sirajganj,BD,24.45,89.7167,78.85,84,100,6.06,overcast clouds
43,Dogondoutchi,NE,13.6393,4.0287,88.11,49,58,11.25,broken clouds
44,Mataura,NZ,-46.1927,168.8643,44.47,98,99,7.11,overcast clouds
45,Upernavik,GL,72.7868,-56.1549,31.89,58,100,1.03,overcast clouds
46,Ushuaia,AR,-54.8,-68.3,47.86,49,75,10.36,broken clouds
47,Te Anau,NZ,-45.4167,167.7167,38.37,87,77,0.74,broken clouds
48,Birecik,TR,37.0294,37.9903,70.81,38,5,4.07,clear sky
49,Bilgoraj,PL,50.5411,22.722,53.65,56,97,12.59,overcast clouds
50,Clinton,US,42.587,-82.9199,75.56,49,1,1.99,clear sky
51,Sanmartin,RO,46.2667,25.9333,48.42,78,58,4.47,broken clouds
52,Kailua,US,21.4022,-157.7394,84.18,82,90,9.22,moderate rain
